obs;theta;resp;error;rt;block;delta;study;experiment;stimulus;expnum
1;129;154;25;0.893100023269653;3;-51;Lau & Maus (2019);Experiment 1;Orientation;1
1;78;74;-4;1.25330281257629;3;51;Lau & Maus (2019);Experiment 1;Orientation;1
1;155;163;8;1.43378090858459;3;-77;Lau & Maus (2019);Experiment 1;Orientation;1
1;129;148;19;1.26293396949768;3;26;Lau & Maus (2019);Experiment 1;Orientation;1
1;53;33;-20;1.30300498008728;3;76;Lau & Maus (2019);Experiment 1;Orientation;1
1;157;163;6;1.11351490020752;3;76;Lau & Maus (2019);Experiment 1;Orientation;1
1;104;113;9;0.683058023452759;3;53;Lau & Maus (2019);Experiment 1;Orientation;1
1;38;28;-10;1.06337714195251;3;66;Lau & Maus (2019);Experiment 1;Orientation;1
1;14;6;-8;1.17373204231262;3;24;Lau & Maus (2019);Experiment 1;Orientation;1
1;106;113;7;4.04304885864258;3;88;Lau & Maus (2019);Experiment 1;Orientation;1
1;145;161;16;0.823026895523071;3;-39;Lau & Maus (2019);Experiment 1;Orientation;1
1;16;15;-1;1.11287808418274;3;-51;Lau & Maus (2019);Experiment 1;Orientation;1
1;62;55;-7;0.893084049224854;3;-46;Lau & Maus (2019);Experiment 1;Orientation;1
1;10;7;-3;1.49284505844116;3;52;Lau & Maus (2019);Experiment 1;Orientation;1
1;114;108;-6;1.65275406837463;3;76;Lau & Maus (2019);Experiment 1;Orientation;1
1;81;71;-10;1.17300486564636;3;33;Lau & Maus (2019);Experiment 1;Orientation;1
1;38;25;-13;1.76282501220703;3;43;Lau & Maus (2019);Experiment 1;Orientation;1
1;92;93;1;1.50318002700806;3;-54;Lau & Maus (2019);Experiment 1;Orientation;1
1;58;41;-17;1.33281588554382;3;34;Lau & Maus (2019);Experiment 1;Orientation;1
1;117;115;-2;1.50315308570862;3;-59;Lau & Maus (2019);Experiment 1;Orientation;1
1;154;160;6;0.543114900588989;3;-37;Lau & Maus (2019);Experiment 1;Orientation;1
1;130;149;19;1.71288204193115;3;24;Lau & Maus (2019);Experiment 1;Orientation;1
1;74;71;-3;0.823022127151489;3;56;Lau & Maus (2019);Experiment 1;Orientation;1
1;46;71;25;1.18299889564514;3;28;Lau & Maus (2019);Experiment 1;Orientation;1
1;115;113;-2;1.05311918258667;3;-69;Lau & Maus (2019);Experiment 1;Orientation;1
1;105;103;-2;1.02346181869507;3;10;Lau & Maus (2019);Experiment 1;Orientation;1
1;161;158;-3;0.912919044494629;3;-56;Lau & Maus (2019);Experiment 1;Orientation;1
1;97;99;2;0.973075866699219;3;64;Lau & Maus (2019);Experiment 1;Orientation;1
1;73;73;0;1.14309597015381;3;24;Lau & Maus (2019);Experiment 1;Orientation;1
1;159;157;-2;1.37335705757141;3;-86;Lau & Maus (2019);Experiment 1;Orientation;1
1;82;80;-2;1.75316190719604;3;77;Lau & Maus (2019);Experiment 1;Orientation;1
1;121;115;-6;0.883176803588867;3;-39;Lau & Maus (2019);Experiment 1;Orientation;1
